Date,Close,Price_Change,MACD,KD_diff,RSI,MA_5_to_10,MA_10_to_20,MA_5_to_20
2020/06/10,18.5,-0.4499999999999993,0.4240818797032482,0.023488706830524397,80.8823529411765,0.5799999999999983,0.5,1.0799999999999983
2020/06/11,18.05,-0.1999999999999993,0.44302369192272906,-0.0348101613027183,76.38888888888894,0.5649999999999977,0.5675000000000061,1.1325000000000038
2020/06/12,17.85,0.09999999999999787,0.43686102409557037,-0.06491703188790032,71.2328767123288,0.4749999999999943,0.6475000000000044,1.1224999999999987
2020/06/15,17.95,0.3500000000000014,0.4350314578595267,-0.04601040992956795,69.56521739130436,0.32500000000000284,0.6899999999999977,1.0150000000000006
2020/06/16,18.3,0.1999999999999993,0.45656064148816,0.005933133756693021,72.00000000000004,0.22500000000000142,0.7175000000000011,0.9425000000000026
2020/06/17,18.5,-0.14999999999999858,0.4841796811802439,0.03784389950439104,76.31578947368423,0.11000000000000298,0.7174999999999976,0.8275000000000006
2020/06/18,18.35,-0.20000000000000284,0.48833500081158476,0.018725301069654532,78.37837837837843,0.07000000000000028,0.7199999999999989,0.7899999999999991
2020/06/19,18.15,0.05000000000000071,0.4700711059266105,-0.019765366277281204,71.42857142857143,0.06500000000000128,0.6849999999999987,0.75
2020/06/22,18.2,0.0,0.45439345488081173,-0.0407068541463208,68.75,0.10000000000000142,0.6050000000000004,0.7050000000000018
2020/06/23,18.2,0.1999999999999993,0.4369321219545519,-0.03863907579539139,64.91228070175436,0.07499999999999929,0.5300000000000011,0.6050000000000004
2020/06/24,18.4,-0.9499999999999993,0.43422672297295506,0.006020396361878344,67.21311475409833,0.06499999999999773,0.432500000000001,0.4974999999999987
2020/06/30,17.45,0.15000000000000213,0.3513751799193088,-0.17298031214285448,49.35064935064934,-0.054999999999999716,0.3249999999999993,0.2699999999999996
2020/07/01,17.6,0.04999999999999716,0.2944245387243498,-0.14563925738716982,43.47826086956523,-0.14000000000000057,0.23249999999999815,0.09249999999999758
2020/07/02,17.65,0.25,0.25043842908471703,-0.09277879473607215,42.64705882352941,-0.22000000000000242,0.15249999999999986,-0.06750000000000256
2020/07/03,17.9,0.10000000000000142,0.23306539812392302,-0.00829205731235666,40.909090909090885,-0.240000000000002,0.067499999999999,-0.17250000000000298
2020/07/06,18.0,0.14999999999999858,0.22477524112474256,0.03413341060243086,49.15254237288135,-0.2700000000000031,-0.014999999999997016,-0.28500000000000014
2020/07/07,18.15,-0.04999999999999716,0.2276843746310817,0.06082180954590427,55.172413793103395,-0.10999999999999943,-0.07500000000000284,-0.18500000000000227
2020/07/08,18.1,0.0,0.2233803125676026,0.042288456895297144,52.63157894736845,-0.004999999999999005,-0.10999999999999943,-0.11499999999999844
2020/07/09,18.1,-0.20000000000000284,0.21746253958262685,0.027083004508821062,46.00000000000001,0.09499999999999886,-0.12249999999999872,-0.027499999999999858
2020/07/10,17.9,0.40000000000000213,0.19439348622308472,-0.023489109715003786,37.99999999999998,0.125,-0.13999999999999702,-0.014999999999997016
2020/07/13,18.3,0.05000000000000071,0.20601296309269657,0.0922401391577915,49.09090909090908,0.19500000000000384,-0.14000000000000057,0.05500000000000327
2020/07/14,18.35,0.04999999999999716,0.2167574197501665,0.11061241658654253,53.846153846153896,0.14499999999999602,-0.06499999999999773,0.0799999999999983
2020/07/15,18.4,0.0,0.22669387531086116,0.07846147270618464,53.84615384615383,0.125,-0.01249999999999929,0.11250000000000071
2020/07/16,18.4,-0.09999999999999787,0.23189544162979914,0.050808368559549066,53.84615384615383,0.10999999999999943,0.0400000000000027,0.15000000000000213
